ego_lane	ego_route	ego_speed	ego_dist	npc1_speed	npc1_distance	npc1_speedChange_speed	npc1_speedChange_time	npc2_speed	npc2_dist	npc1_lane	npc2_lane
2	E5	34.14233036822891	148.53678107478885	34.14233036822891	123.6234077236133	14.810511041387482	range(0, 5)	40.94400399376237	186.79068387468485	2	1
1	E5	43.396577002547886	148.50907627197236	43.396577002547886	124.77023882178781	18.24538642184093	range(0, 5)	35.75610363321904	181.1444420932313	1	1
1	-E4	32.56642333936346	148.21993900108885	32.56642333936346	107.36286405782175	14.646095262515173	range(0, 5)	31.437985719907772	185.6946370529631	1	1
2	E5	31.028352841609884	147.73750306760337	31.028352841609884	107.82874335528857	13.516323547531446	range(0, 5)	38.96300104534584	184.60828957926668	2	2
1	E5	45.93845039930446	148.3394512417698	45.93845039930446	126.30642392787098	17.864560251038796	range(0, 5)	40.6228253286712	184.6008141245884	1	1
1	-E4	47.967374319187094	148.31947952984012	47.967374319187094	90.40763911171898	20.343972705835842	range(0, 5)	36.391090755311694	183.0271816618398	1	1
2	E5	33.13141604119121	148.05097264353154	33.13141604119121	97.75968804186377	13.259773040170977	range(0, 5)	37.94968975477717	184.4531747815392	2	2
1	E5	47.723989225442565	147.60992373668822	47.723989225442565	106.17311874194036	19.771296432443517	range(0, 5)	30.323808398282047	186.41226613223026	1	2
1	E5	46.484853311763004	148.53066734702867	46.484853311763004	111.101175328876	17.179078469702283	range(0, 5)	43.50191760683215	183.72105930017085	1	2
2	-E4	34.34973194269732	147.65736610802378	34.34973194269732	109.17289142913083	15.651308356985977	range(0, 5)	41.48301664216835	187.97796830674392	2	1
2	E5	33.87142941714765	148.70405295535136	33.87142941714765	97.83830406639444	15.651862874127161	range(0, 5)	30.316668989365716	186.35386600007388	2	1
2	E5	41.82214302320791	147.32294981267987	41.82214302320791	134.22722632538574	19.7192633775912	range(0, 5)	35.21506917427089	181.86004239928587	2	2
1	E5	36.32617338936997	147.32052183498752	36.32617338936997	98.23314216389484	15.032250546036593	range(0, 5)	47.23964895617509	183.04581786932684	1	1
1	E5	41.54088403418898	147.88698145885394	41.54088403418898	92.22334286521627	18.299513354805185	range(0, 5)	40.12024453218058	187.41193005795367	1	1
1	-E4	38.08055389788337	148.03148869507794	38.08055389788337	119.82840147859922	16.049664340906055	range(0, 5)	31.506842934811573	185.90790186510438	1	1
2	-E4	42.5044396321327	148.24606813729264	42.5044396321327	124.03057782143325	18.211383982161102	range(0, 5)	34.73967417465848	186.67442069407468	2	1
1	E5	43.831239501595974	147.64219015109052	43.831239501595974	125.75590025834995	20.12130436572415	range(0, 5)	40.32315040093374	183.8033001984419	1	2
2	E5	35.9993100999926	147.34814006828674	35.9993100999926	106.98831083059464	16.524690729600607	range(0, 5)	32.00142185335515	187.07711941368157	2	1
1	E5	48.726349352042774	148.60884965349723	48.726349352042774	137.0446289206125	16.82618122662388	range(0, 5)	49.665212455535325	187.6919190031182	1	1
2	-E4	30.197111228849213	148.44396924010684	30.197111228849213	132.3645669157276	13.246044406399584	range(0, 5)	41.75028647975816	180.6479017550589	2	2
2	E5	35.394464569496925	148.222657597516	35.394464569496925	125.47511002420703	15.397977709916741	range(0, 5)	33.165628812781705	185.00662727086734	2	1
2	E5	30.889619926420878	148.6597136597238	30.889619926420878	104.0943283450458	15.104575181651622	range(0, 5)	36.63139505555572	182.00820247320934	2	1
1	-E4	36.97334883101817	147.70283704210436	36.97334883101817	132.0046861345082	17.417969148970037	range(0, 5)	45.097585942999174	187.63143985853637	1	2
2	-E4	36.38222792880788	147.77604162265916	36.38222792880788	100.44138417549277	18.333002395464852	range(0, 5)	38.395931982154636	181.57542842473555	2	1
1	-E4	38.16159635587766	148.15748815556213	38.16159635587766	105.15041605334733	13.548546031305264	range(0, 5)	42.189761834364056	187.7344410584423	1	2
1	-E4	45.49461460078704	147.8122698415852	45.49461460078704	128.0990409986814	20.749009402109852	range(0, 5)	38.47470469290524	182.17220488856964	1	1
2	-E4	37.785301268149276	148.64714401205737	37.785301268149276	97.16122506706532	13.291184717193653	range(0, 5)	42.91943269917759	184.6616718027759	2	1
2	-E4	31.204443750237573	147.51086529309626	31.204443750237573	120.78925955286564	13.584230362325517	range(0, 5)	40.604004757320205	182.50875802048344	2	2
1	-E4	34.99830908935573	147.4469433159476	34.99830908935573	118.0810766486545	17.41996807716748	range(0, 5)	32.72081703236487	181.28247818530025	1	2
1	-E4	35.79995100641414	148.13495434744203	35.79995100641414	98.67772087128026	14.675770934463849	range(0, 5)	49.22174430324583	180.30854256788314	1	2
2	-E4	42.27059049173213	147.3799989845693	42.27059049173213	98.50166304568603	16.46118321186439	range(0, 5)	44.26661281684728	185.0953269350614	2	1
2	E5	47.75769008159627	147.58792551981708	47.75769008159627	136.33313756966803	21.380302315272125	range(0, 5)	47.41238140955073	186.27784610892974	2	2
1	E5	37.41271398455999	147.90697844355145	37.41271398455999	95.16419321806711	13.754303506613411	range(0, 5)	41.81911099028001	186.2523577986555	1	1
1	-E4	49.1145055236971	147.4137152173116	49.1145055236971	113.43594249735739	18.5278120219355	range(0, 5)	40.704522648138756	182.6304134727444	1	1
1	-E4	37.24890418707052	147.54086158243754	37.24890418707052	117.88880040128481	13.747917802423057	range(0, 5)	37.31425042622158	187.89878227918237	1	1
2	-E4	43.27520273114263	147.5064016729119	43.27520273114263	93.50023710511077	15.441410114415032	range(0, 5)	45.01763225887584	187.08808435244433	2	1
1	E5	39.47114213766767	147.81082949759687	39.47114213766767	128.6305984857508	17.9296912528297	range(0, 5)	47.24067117345442	186.79046979903399	1	2
1	E5	36.12691151548665	148.34496584564823	36.12691151548665	105.9012414454865	14.649436902794246	range(0, 5)	42.89878153105974	187.09472306673533	1	1
2	-E4	34.062993459417484	148.19841898815872	34.062993459417484	118.70972736952365	16.654839180071065	range(0, 5)	42.28151634240269	180.35516620099315	2	2
1	-E4	34.89419195283041	148.40348855630896	34.89419195283041	93.78990930923564	16.516379114989988	range(0, 5)	41.277033148757994	184.72876275065343	1	2
2	E5	30.463471239805937	148.3714722757884	30.463471239805937	96.47950611300416	12.079518061007773	range(0, 5)	35.268797299622264	185.55604184758676	2	1
