npc2_distance	npc2_changeSpeed
38.44037462983888	21.76980096760976
31.577640214289005	27.50568420207319
49.22327627449197	22.188807523021246
50.21089315217837	21.050396265728125
67.15277795218591	19.80837937332309
87.45126676558101	25.621058717638775
57.09517644452561	24.608719627617685
43.51901448556266	21.681413812842415
31.562109155940732	22.52547523895637
50.43523775113818	22.850193973831868
86.8623539618544	22.053356131061406
75.56528025052631	24.284429975462263
68.3534467728012	23.943861811404773
38.181467679868625	22.01104596351896
85.47073310027852	20.891149435231604
88.42516828037596	23.667560513434452
89.62752798469873	26.414782614234138
78.23977804379915	24.268739127524483
74.64950972010178	26.32292416534194
64.77864790284579	19.546232786358644
72.0838446743449	26.50219975855359
75.10190664021073	25.161866150249505
33.06429754750626	26.116794202488226
82.74796738006609	23.88500524014686
32.760860758338694	25.929637383370558
52.17842301556497	23.70933042313169
58.81177430302206	26.781089600132784
64.42718360017031	22.68895127919801
43.102869600209154	19.80587012033339
82.90193121495918	21.854866704913455
66.15939025692778	27.674478496671277
43.711040619967406	24.25918134685739
46.265340065295305	23.04036108403756
75.95023110283924	20.073490994765002
63.183111047473915	26.0245546645746
55.793252579169206	24.886571571988206
79.91410358165433	22.37729155782345
53.796696315522055	22.357324926989474
59.96482201034091	27.757862796041866
66.08485237607019	24.499252274667846
78.49603669922003	27.1548503863556
75.20406131658683	22.569485922221677
69.9625645138834	21.50290024148794
43.26915106474852	26.920549534032
64.04619639418277	23.087952700883676
43.00012994191576	27.295529376326368
32.230026176109504	23.398020732836628
61.376573958299964	22.698902862789282
41.77087494611843	20.20651609667042
86.31378403477939	22.469092201291524
38.58141380453369	26.275071148218863
84.36080280988527	25.938920965566524
82.97857175542266	21.876429095524
88.66447979838951	21.208823368156285
45.21525544882104	26.623911816511086
48.79925703138683	20.288086339450807
59.80261031882297	22.258433589113316
71.29751323446297	25.772666471340315
37.568497738139065	19.73026106078029
54.26228018262621	26.271063952906186
38.27720978268947	21.701660283574387
32.35700575820516	19.853801879196183
83.72494474837842	27.032577029108285
57.53700544063274	22.798237732423765
49.45345231227253	24.151174811168307
79.83344263609956	22.398659904354012
79.99810468466478	25.690011082871514
87.63683579492007	20.02061852800586
34.257648240967214	24.327313913757553
40.86097920695639	21.458812284070174
55.05793944853244	21.95969295605594
39.56931908020286	25.701449058445863
41.885731915218614	23.842121832338318
50.67973672682965	24.44917697768723
35.05786610648042	25.864832264519173
30.403133223348647	21.83046962584885
71.14320368334177	23.586816780990517
44.04824738595908	26.658191208981247
60.34727735933545	20.454390986226638
65.23363629109973	24.470693368522245
39.75353183695245	22.897217158530175
77.10022332713478	26.651891092926924
81.84046776415818	20.40054448088724
34.69552851320891	24.037921164878366
41.36608914651431	26.6398529553245
66.4109197717265	27.500559121279686
77.11213696944972	26.315731069186107
68.49334066940199	26.47238936047327
44.274383144154555	26.743366818832907
