ego_speed	ego_lane	npc1_speed	npc1_distance	npc2_speed	npc1_lane	npc2_lane
45.47848491001883	2.0	45.47848491001883	106.4651052057914	37.77998095406327	2.0	1.0
41.802806215897846	1.0	41.802806215897846	122.30413666249204	37.30852103526995	1.0	2.0
44.26285080512782	2.0	44.26285080512782	119.03698860427505	47.130628137148314	2.0	2.0
32.542519243194164	1.0	32.542519243194164	53.02103887304729	38.22268546063173	1.0	1.0
40.494756244954935	2.0	40.494756244954935	69.7703533872355	45.893112524108446	2.0	1.0
41.69589709952571	1.0	41.69589709952571	125.13922172714095	42.71478224592499	1.0	1.0
34.14410796011598	1.0	34.14410796011598	92.439988210309	35.97150481057625	1.0	1.0
43.01896519765722	1.0	43.01896519765722	107.60228411619542	44.629511463518774	1.0	2.0
44.773004538165004	1.0	44.773004538165004	60.59522367555033	37.808257593906454	1.0	1.0
30.098177610739228	1.0	30.098177610739228	69.88414983718722	30.309520088289307	1.0	2.0
31.789995795593637	2.0	31.789995795593637	126.79250528634512	38.13525418626822	2.0	2.0
45.339012351977125	1.0	45.339012351977125	85.55105059487416	33.174242445588064	1.0	2.0
45.283272637929144	2.0	45.283272637929144	90.67665478113457	47.77431689115422	2.0	1.0
40.66774033990552	2.0	40.66774033990552	50.54293504678121	46.93220629221055	2.0	1.0
37.08562819436703	2.0	37.08562819436703	80.58581532841245	41.64844007457829	2.0	1.0
47.74029137435415	1.0	47.74029137435415	109.03504575985805	33.18647625995485	1.0	1.0
39.08526576304779	2.0	39.08526576304779	53.34132245211053	37.62774407685885	2.0	1.0
42.520655088201245	2.0	42.520655088201245	86.97280938557888	35.59537536167146	2.0	1.0
43.8064211020723	2.0	43.8064211020723	103.32582701415276	48.98424699883352	2.0	1.0
46.865186476578835	1.0	46.865186476578835	135.77078770243983	41.62230050200026	1.0	2.0
33.61269568911626	1.0	33.61269568911626	98.48267661595469	32.09433390149134	1.0	2.0
46.18928560972955	1.0	46.18928560972955	68.09383874473721	38.55219748277107	1.0	2.0
45.074858764031895	1.0	45.074858764031895	82.19574849503451	47.580957024972484	1.0	2.0
44.54249297672606	2.0	44.54249297672606	69.59994873021404	42.31923162164261	2.0	2.0
40.630432250324034	2.0	40.630432250324034	69.86149660410842	47.60044983852234	2.0	2.0
45.48289963690954	2.0	45.48289963690954	60.95814132832872	43.8827472144624	2.0	1.0
31.510580351702078	2.0	31.510580351702078	97.21105549984637	38.632227734428355	2.0	2.0
37.225817214606955	2.0	37.225817214606955	84.10046902627761	49.39611011478431	2.0	1.0
33.62717046855453	2.0	33.62717046855453	92.8832445172466	35.312518743936835	2.0	1.0
38.60173130792434	2.0	38.60173130792434	131.92288592080706	40.02210913289192	2.0	1.0
30.412841227828213	2.0	30.412841227828213	58.22643624948758	34.229387565910436	2.0	1.0
39.91368126068936	2.0	39.91368126068936	92.77522693249651	31.832977529032334	2.0	2.0
34.142062384680294	2.0	34.142062384680294	114.94152000799083	43.41585973461297	2.0	1.0
43.38973753053472	1.0	43.38973753053472	118.81518651955693	38.685856862134166	1.0	1.0
38.067281133803654	2.0	38.067281133803654	50.819388666141634	49.81130345252389	2.0	2.0
43.60605559514631	2.0	43.60605559514631	76.38747978845461	33.48024678305194	2.0	1.0
46.33680765446961	2.0	46.33680765446961	97.45527155467542	33.11580298904612	2.0	2.0
44.40405663538969	2.0	44.40405663538969	59.26766152163182	48.110137300515454	2.0	1.0
34.03851025570708	2.0	34.03851025570708	135.96651075251373	34.37832924532874	2.0	2.0
33.29962467045592	2.0	33.29962467045592	57.7441104086774	45.26884941354888	2.0	2.0
49.039621612975026	1.0	49.039621612975026	133.21938892462856	47.53352272345526	1.0	1.0
40.51406709318621	2.0	40.51406709318621	94.86767466674979	40.36140929543679	2.0	1.0
42.53981636627552	2.0	42.53981636627552	69.3050119660611	39.187319888666224	2.0	1.0
33.7352421674026	2.0	33.7352421674026	95.02038688247953	41.55028007485829	2.0	1.0
39.07174835302368	1.0	39.07174835302368	58.92102201494845	30.978622892831346	1.0	2.0
43.233052321155945	2.0	43.233052321155945	47.919623450069025	30.76116935691125	2.0	1.0
34.47909478346705	1.0	34.47909478346705	50.05952031900095	30.072257180966606	1.0	2.0
36.130681986798415	1.0	36.130681986798415	60.12828588049395	33.17180071981053	1.0	2.0
35.914740295758214	1.0	35.914740295758214	55.1936068523741	44.15011127112962	1.0	2.0
31.174845193501145	2.0	31.174845193501145	126.48153444472784	40.41607344723751	2.0	1.0
49.203912312957314	1.0	49.203912312957314	76.64423679538177	40.01189885204942	1.0	2.0
30.489350366016843	2.0	30.489350366016843	96.1077221869561	48.947867259275	2.0	1.0
41.94800886907292	1.0	41.94800886907292	49.93904309517964	48.70295973015457	1.0	1.0
40.78930078489791	2.0	40.78930078489791	71.40482298298194	48.455106582315885	2.0	1.0
35.02540801969656	2.0	35.02540801969656	110.97788400272171	36.51300160969553	2.0	1.0
